college,state_code,state_name,region,division,public_or_private,number_applications_received,number_applications_accepted,number_applications_not_accepted,percentage_applications_accepted,number_new_students_enrolled,percentage_new_students_from_top_10,percentage_new_students_from_top_25,number_ft_undergrad,number_pt_undergrad,in_state_tuition,out_of_state_tuition,room,board,additional_fees,estimated_book_costs,estimated_personal_spending,percentage_faculty_with_phd,student_faculty_ratio,graduation_rate
Rhode Island College,RI,Rhode Island,Northeast,New England,public,2310.0,1767.0,543.0,76.49,1030.0,15.0,50.0,4882.0,2706.0,2370.0,6694.0,2537.0,2600.0,468.0,500.0,,74.0,15.7,47.0
Rhode Island School of Design,RI,Rhode Island,Northeast,New England,private,1831.0,842.0,989.0,45.99,379.0,17.0,45.0,1846.0,,16684.0,16684.0,3354.0,3318.0,90.0,1500.0,1700.0,27.0,10.0,96.0
Salve Regina University,RI,Rhode Island,Northeast,New England,private,1475.0,1257.0,218.0,85.22,362.0,7.0,20.0,1393.0,278.0,14200.0,14200.0,6500.0,,75.0,500.0,,64.0,9.6,71.0
University of Rhode Island,RI,Rhode Island,Northeast,New England,public,9643.0,7751.0,1892.0,80.38,1968.0,12.0,40.0,8894.0,2456.0,3004.0,10330.0,3168.0,2390.0,1238.0,500.0,1250.0,84.0,16.6,63.0
Roger Williams University,RI,Rhode Island,Northeast,New England,private,3304.0,2804.0,500.0,84.87,679.0,10.0,20.0,2111.0,1489.0,12520.0,12520.0,3060.0,2990.0,480.0,500.0,730.0,44.0,16.4,61.0
Charleston Southern University,SC,South Carolina,South,South Atlantic,private,1199.0,904.0,295.0,75.4,397.0,,,1533.0,734.0,7730.0,7730.0,,,9.0,750.0,1890.0,60.0,19.2,39.0
Benedict College,SC,South Carolina,South,South Atlantic,private,1622.0,1472.0,150.0,90.75,341.0,,,1203.0,63.0,5210.0,5210.0,,,425.0,120.0,2200.0,44.0,14.6,48.0
Central Wesleyan College,SC,South Carolina,South,South Atlantic,private,174.0,146.0,28.0,83.91,88.0,8.0,29.0,1047.0,33.0,8300.0,8300.0,1000.0,2080.0,200.0,600.0,600.0,62.0,15.2,58.0
The Citadel,SC,South Carolina,South,South Atlantic,public,1500.0,1242.0,258.0,82.8,611.0,12.0,36.0,2024.0,292.0,3076.0,7070.0,830.0,1609.0,264.0,400.0,779.0,95.0,17.1,84.0
Claflin College,SC,South Carolina,South,South Atlantic,private,1196.0,697.0,499.0,58.28,499.0,21.0,47.0,959.0,13.0,4412.0,4412.0,1000.0,1460.0,600.0,500.0,1000.0,69.0,16.9,21.0
Clemson University,SC,South Carolina,South,South Atlantic,public,8065.0,5257.0,2808.0,65.18,2301.0,37.0,65.0,11755.0,770.0,3036.0,8116.0,1890.0,1720.0,,800.0,1618.0,82.0,18.0,73.0
Coker College,SC,South Carolina,South,South Atlantic,private,604.0,452.0,152.0,74.83,295.0,15.0,47.0,690.0,222.0,9888.0,9888.0,1846.0,2670.0,185.0,400.0,1000.0,64.0,12.1,75.0
College of Charleston,SC,South Carolina,South,South Atlantic,public,4772.0,3140.0,1632.0,65.8,1265.0,22.0,55.0,6851.0,1200.0,3060.0,6120.0,2200.0,1260.0,,666.0,2316.0,73.0,17.2,51.0
Columbia College,SC,South Carolina,South,South Atlantic,private,737.0,614.0,123.0,83.31,242.0,21.0,67.0,968.0,237.0,10425.0,10425.0,3975.0,,,500.0,1500.0,61.0,14.7,76.0
Converse College,SC,South Carolina,South,South Atlantic,private,440.0,407.0,33.0,92.5,149.0,35.0,70.0,643.0,80.0,12050.0,12050.0,,,,500.0,900.0,63.0,10.2,75.0
Erskine College,SC,South Carolina,South,South Atlantic,private,659.0,557.0,102.0,84.52,167.0,47.0,74.0,532.0,35.0,10485.0,10485.0,1760.0,2080.0,660.0,475.0,1246.0,76.0,13.5,67.0
Furman University,SC,South Carolina,South,South Atlantic,private,2161.0,1951.0,210.0,90.28,685.0,56.0,82.0,2371.0,175.0,13440.0,13440.0,2096.0,1952.0,134.0,600.0,1250.0,92.0,13.5,82.0
Lander University,SC,South Carolina,South,South Atlantic,public,1166.0,1009.0,157.0,86.54,510.0,9.0,33.0,2074.0,341.0,3340.0,4938.0,1867.0,1120.0,50.0,528.0,1702.0,67.0,17.0,51.0
Limestone College,SC,South Carolina,South,South Atlantic,private,725.0,554.0,171.0,76.41,369.0,5.0,40.0,786.0,682.0,7100.0,7100.0,3500.0,,100.0,300.0,,39.0,11.2,
Morris College,SC,South Carolina,South,South Atlantic,private,882.0,730.0,152.0,82.77,330.0,2.0,13.0,926.0,12.0,4515.0,4515.0,2550.0,,115.0,850.0,2100.0,53.0,18.6,60.0
Newberry College,SC,South Carolina,South,South Atlantic,private,872.0,722.0,150.0,82.8,154.0,14.0,36.0,601.0,36.0,10194.0,10194.0,1600.0,1000.0,300.0,500.0,1500.0,57.0,11.4,83.0
Presbyterian College,SC,South Carolina,South,South Atlantic,private,1082.0,832.0,250.0,76.89,302.0,34.0,63.0,1133.0,30.0,11859.0,11859.0,1711.0,1924.0,892.0,554.0,1429.0,80.0,13.4,85.0
South Carolina State University,SC,South Carolina,South,South Atlantic,public,2556.0,1752.0,804.0,68.54,946.0,7.0,16.0,4396.0,515.0,2200.0,4380.0,1420.0,1316.0,100.0,600.0,,60.0,18.3,
University of South Carolina at Columbia,SC,South Carolina,South,South Atlantic,public,7693.0,5815.0,1878.0,75.59,2328.0,30.0,66.0,12594.0,3661.0,3196.0,8074.0,3522.0,,,495.0,2941.0,84.0,16.9,63.0
University of South Carolina at Aiken,SC,South Carolina,South,South Atlantic,public,848.0,560.0,288.0,66.04,377.0,14.0,24.0,1855.0,1412.0,2320.0,5800.0,3066.0,,75.0,500.0,1500.0,62.0,14.8,48.0
Coastal Carolina University,SC,South Carolina,South,South Atlantic,public,1854.0,1391.0,463.0,75.03,732.0,9.0,28.0,3020.0,1174.0,2710.0,7000.0,2640.0,1450.0,,600.0,,74.0,17.0,51.0
Voorhees College,SC,South Carolina,South,South Atlantic,private,1465.0,1006.0,459.0,68.67,188.0,10.0,30.0,703.0,20.0,4450.0,4450.0,,,,500.0,1200.0,43.0,22.9,58.0
Winthrop University,SC,South Carolina,South,South Atlantic,public,2320.0,1805.0,515.0,77.8,769.0,24.0,61.0,3395.0,670.0,3620.0,6400.0,2058.0,1334.0,,580.0,2150.0,71.0,12.8,59.0
Wofford College,SC,South Carolina,South,South Atlantic,private,1501.0,935.0,566.0,62.29,273.0,51.0,83.0,1059.0,34.0,12680.0,12680.0,,,,605.0,1440.0,91.0,15.3,75.0
Univ. of South Carolina at Spartanburg,SC,South Carolina,South,South Atlantic,public,885.0,553.0,332.0,62.49,381.0,13.0,38.0,2207.0,1058.0,2295.0,5739.0,,,,312.0,,70.0,15.9,38.0
Francis Marion University,SC,South Carolina,South,South Atlantic,public,1801.0,1655.0,146.0,91.89,819.0,13.0,38.0,3224.0,436.0,2920.0,5840.0,1540.0,1598.0,,400.0,2430.0,76.0,19.1,43.0
Augustana College,SD,South Dakota,Midwest,West North Central,private,761.0,725.0,36.0,95.27,306.0,21.0,58.0,1337.0,300.0,10990.0,10990.0,1622.0,1622.0,125.0,600.0,1021.0,66.0,10.4,69.0
Black Hills State University,SD,South Dakota,Midwest,West North Central,public,938.0,938.0,0.0,100.0,588.0,7.0,23.0,2629.0,1283.0,1323.0,3222.0,,,934.0,500.0,,63.0,29.2,51.0
Dakota Wesleyan University,SD,South Dakota,Midwest,West North Central,private,342.0,182.0,160.0,53.22,135.0,12.0,32.0,538.0,228.0,7540.0,7540.0,,,,600.0,1400.0,38.0,11.4,75.0
Dakota State University,SD,South Dakota,Midwest,West North Central,public,385.0,358.0,27.0,92.99,229.0,5.0,21.0,988.0,597.0,1323.0,3222.0,1186.0,1418.0,,600.0,,47.0,19.4,35.0
Huron University,SD,South Dakota,Midwest,West North Central,private,600.0,197.0,403.0,32.83,124.0,3.0,9.0,392.0,69.0,7260.0,7260.0,1910.0,1180.0,330.0,600.0,1840.0,31.0,12.9,21.0
Mount Marty College,SD,South Dakota,Midwest,West North Central,private,279.0,276.0,3.0,98.92,126.0,17.0,37.0,600.0,435.0,6844.0,6844.0,,,636.0,500.0,500.0,45.0,11.7,44.0
Northern State University,SD,South Dakota,Midwest,West North Central,public,2056.0,2054.0,2.0,99.9,2054.0,10.0,40.0,2239.0,686.0,1411.0,3437.0,1128.0,1074.0,832.0,550.0,1925.0,68.0,20.2,54.0
Sioux Falls College,SD,South Dakota,Midwest,West North Central,private,437.0,400.0,37.0,91.53,211.0,13.0,35.0,614.0,271.0,8990.0,8990.0,1340.0,1724.0,,500.0,1700.0,73.0,14.8,48.0
South Dakota School of Mines and Tech.,SD,South Dakota,Midwest,West North Central,public,1034.0,932.0,102.0,90.14,866.0,27.0,55.0,1691.0,557.0,1364.0,3573.0,1200.0,1700.0,1309.0,500.0,1707.0,80.0,15.5,
South Dakota State University,SD,South Dakota,Midwest,West North Central,public,2807.0,2589.0,218.0,92.23,1701.0,13.0,37.0,7000.0,1103.0,1454.0,3811.0,1120.0,1070.0,1024.0,500.0,1970.0,62.0,15.0,67.0
University of South Dakota,SD,South Dakota,Midwest,West North Central,public,2160.0,2031.0,129.0,94.03,1268.0,15.0,39.0,5368.0,1066.0,1454.0,3811.0,1208.0,1412.0,1125.0,675.0,1118.0,71.0,14.6,
Austin Peay State University,TN,Tennessee,South,East South Central,public,2863.0,2154.0,709.0,75.24,1179.0,,,4772.0,2763.0,1616.0,5550.0,1460.0,1470.0,262.0,700.0,1572.0,66.0,18.2,36.0
Belmont University,TN,Tennessee,South,East South Central,private,1220.0,974.0,246.0,79.84,481.0,28.0,67.0,1964.0,623.0,7800.0,7800.0,1974.0,1690.0,250.0,650.0,900.0,61.0,11.1,49.0
Bethel College,TN,Tennessee,South,East South Central,private,502.0,384.0,118.0,76.49,104.0,11.0,28.0,347.0,74.0,6200.0,6200.0,2900.0,,,600.0,800.0,63.0,11.7,35.0
Carson-Newman College,TN,Tennessee,South,East South Central,private,1096.0,951.0,145.0,86.77,464.0,27.0,62.0,1776.0,239.0,8150.0,8150.0,1260.0,1890.0,450.0,400.0,500.0,61.0,13.6,67.0
Christian Brothers University,TN,Tennessee,South,East South Central,private,880.0,520.0,360.0,59.09,224.0,16.0,42.0,1068.0,364.0,9300.0,9300.0,1350.0,1910.0,120.0,600.0,900.0,81.0,11.1,63.0
Cumberland University,TN,Tennessee,South,East South Central,private,308.0,281.0,27.0,91.23,199.0,12.0,32.0,491.0,251.0,5500.0,5500.0,1850.0,1100.0,200.0,250.0,,55.0,11.3,37.0
David Lipscomb University,TN,Tennessee,South,East South Central,private,1239.0,1134.0,105.0,91.53,611.0,,,1957.0,343.0,5775.0,5775.0,1450.0,1890.0,1110.0,500.0,1700.0,97.0,16.2,73.0
East Tennessee State University,TN,Tennessee,South,East South Central,public,3330.0,2730.0,600.0,81.98,1303.0,15.0,36.0,6706.0,2640.0,1800.0,5800.0,1600.0,1800.0,,600.0,2200.0,73.0,14.0,42.0
Fisk University,TN,Tennessee,South,East South Central,private,1078.0,720.0,358.0,66.79,226.0,24.0,36.0,850.0,,6240.0,6240.0,1572.0,2118.0,75.0,600.0,1900.0,74.0,12.5,43.0
Freed-Hardeman University,TN,Tennessee,South,East South Central,private,895.0,548.0,347.0,61.23,314.0,20.0,54.0,1174.0,50.0,5500.0,5500.0,1590.0,1750.0,770.0,600.0,1600.0,68.0,16.1,62.0
King College,TN,Tennessee,South,East South Central,private,355.0,300.0,55.0,84.51,142.0,34.0,65.0,509.0,44.0,8664.0,8664.0,1630.0,1720.0,700.0,600.0,3000.0,65.0,10.7,65.0
Knoxville College,TN,Tennessee,South,East South Central,private,503.0,408.0,95.0,81.11,293.0,13.0,46.0,776.0,68.0,5400.0,5400.0,1600.0,1550.0,170.0,600.0,1092.0,30.0,11.1,
Lambuth University,TN,Tennessee,South,East South Central,private,831.0,538.0,293.0,64.74,224.0,15.0,35.0,840.0,325.0,5170.0,5170.0,1400.0,2030.0,210.0,600.0,1590.0,61.0,16.1,60.0
Lee College,TN,Tennessee,South,East South Central,private,651.0,498.0,153.0,76.5,453.0,,23.0,1831.0,180.0,4788.0,4788.0,1660.0,1660.0,132.0,500.0,1800.0,42.0,18.5,52.0
LeMoyne-Owen College,TN,Tennessee,South,East South Central,private,409.0,261.0,148.0,63.81,177.0,15.0,59.0,983.0,149.0,4200.0,4200.0,500.0,1200.0,65.0,500.0,500.0,59.0,16.2,
Lincoln Memorial University,TN,Tennessee,South,East South Central,private,787.0,562.0,225.0,71.41,363.0,21.0,55.0,925.0,605.0,5950.0,5950.0,1200.0,1690.0,120.0,600.0,1300.0,67.0,14.6,53.0
Maryville College,TN,Tennessee,South,East South Central,private,1464.0,888.0,576.0,60.66,176.0,26.0,52.0,624.0,128.0,11200.0,11200.0,1998.0,2210.0,150.0,500.0,1642.0,80.0,11.1,51.0
University of Memphis,TN,Tennessee,South,East South Central,public,3921.0,2557.0,1364.0,65.21,1691.0,,,10621.0,4864.0,1974.0,5908.0,1633.0,,68.0,500.0,900.0,77.0,16.9,33.0
Middle Tennessee State University,TN,Tennessee,South,East South Central,public,4587.0,3423.0,1164.0,74.62,2132.0,,,12541.0,2885.0,1616.0,5550.0,1584.0,974.0,176.0,500.0,,69.0,19.2,39.0
Milligan College,TN,Tennessee,South,East South Central,private,610.0,461.0,149.0,75.57,189.0,26.0,52.0,685.0,49.0,8200.0,8200.0,1600.0,1700.0,200.0,550.0,1000.0,63.0,12.0,64.0
Southern Coll. of Seventh-day Adventists,TN,Tennessee,South,East South Central,private,699.0,660.0,39.0,94.42,349.0,,,1198.0,296.0,8414.0,8414.0,1530.0,1966.0,250.0,504.0,900.0,49.0,14.1,59.0
Rhodes College,TN,Tennessee,South,East South Central,private,2302.0,1831.0,471.0,79.54,391.0,58.0,82.0,1345.0,59.0,15200.0,15200.0,2696.0,2072.0,158.0,550.0,1500.0,90.0,10.8,77.0
Tennessee State University,TN,Tennessee,South,East South Central,public,6626.0,4122.0,2504.0,62.21,721.0,24.0,31.0,4566.0,1913.0,1470.0,4836.0,986.0,1304.0,70.0,,,72.0,18.6,41.0
Tennessee Technological University,TN,Tennessee,South,East South Central,public,2594.0,2542.0,52.0,98.0,1580.0,11.0,29.0,6461.0,910.0,1740.0,4025.0,1505.0,2125.0,,700.0,1400.0,76.0,16.9,54.0
Tennessee Wesleyan College,TN,Tennessee,South,East South Central,private,232.0,182.0,50.0,78.45,99.0,7.0,29.0,402.0,237.0,7070.0,7070.0,2140.0,1500.0,150.0,400.0,3158.0,59.0,8.9,36.0
Trevecca Nazarene College,TN,Tennessee,South,East South Central,private,272.0,272.0,0.0,100.0,145.0,13.0,50.0,770.0,213.0,4750.0,4750.0,1870.0,1400.0,320.0,500.0,800.0,57.0,14.0,49.0
Tusculum College,TN,Tennessee,South,East South Central,private,626.0,372.0,254.0,59.42,145.0,12.0,34.0,983.0,40.0,7700.0,7700.0,3400.0,,100.0,450.0,800.0,70.0,21.9,52.0
Union University,TN,Tennessee,South,East South Central,private,846.0,752.0,94.0,88.89,406.0,35.0,84.0,1688.0,502.0,5780.0,5780.0,1580.0,950.0,134.0,550.0,600.0,44.0,13.5,
University of Tennessee at Chattanooga,TN,Tennessee,South,East South Central,public,2091.0,1338.0,753.0,63.99,991.0,,,5359.0,1758.0,1824.0,5800.0,1704.0,1600.0,,600.0,1025.0,76.0,16.8,39.0
University of Tennessee at Knoxville,TN,Tennessee,South,East South Central,public,7473.0,5372.0,2101.0,71.89,3013.0,27.0,53.0,15749.0,3237.0,1830.0,5764.0,1584.0,1678.0,222.0,750.0,3300.0,86.0,16.5,53.0
University of Tennessee at Martin,TN,Tennessee,South,East South Central,public,1934.0,1500.0,434.0,77.56,1123.0,,,4669.0,675.0,1900.0,5832.0,1490.0,1400.0,,500.0,1000.0,68.0,19.6,48.0
University of the South,TN,Tennessee,South,East South Central,private,1445.0,966.0,479.0,66.85,326.0,46.0,83.0,1129.0,24.0,15350.0,15350.0,2010.0,2070.0,175.0,450.0,810.0,89.0,10.3,82.0
Vanderbilt University,TN,Tennessee,South,East South Central,private,7791.0,4690.0,3101.0,60.2,1499.0,71.0,92.0,5500.0,90.0,17865.0,17865.0,4132.0,2393.0,964.0,630.0,952.0,93.0,5.8,83.0
Bryan College,TN,Tennessee,South,East South Central,private,315.0,242.0,73.0,76.83,108.0,,,410.0,15.0,7300.0,7300.0,2200.0,1750.0,390.0,450.0,,70.0,12.6,62.0
Abilene Christian University,TX,Texas,South,West South Central,private,1660.0,1232.0,428.0,74.22,721.0,23.0,52.0,2885.0,537.0,7440.0,7440.0,,,,450.0,2200.0,70.0,18.1,60.0
Angelo State University,TX,Texas,South,West South Central,public,3540.0,2001.0,1539.0,56.53,1016.0,24.0,54.0,4190.0,1512.0,840.0,5130.0,1324.0,2268.0,734.0,500.0,2000.0,60.0,23.1,34.0
Austin College,TX,Texas,South,West South Central,private,948.0,798.0,150.0,84.18,295.0,42.0,74.0,1120.0,15.0,11280.0,11280.0,,,125.0,400.0,1150.0,81.0,13.0,71.0
Concordia Lutheran College,TX,Texas,South,West South Central,private,232.0,216.0,16.0,93.1,106.0,16.0,34.0,534.0,172.0,6900.0,6900.0,3800.0,,480.0,450.0,1825.0,67.0,12.1,42.0
Dallas Baptist University,TX,Texas,South,West South Central,private,360.0,314.0,46.0,87.22,155.0,37.0,64.0,848.0,1542.0,5400.0,5400.0,1330.0,1940.0,130.0,500.0,,48.0,14.4,87.0
East Texas Baptist University,TX,Texas,South,West South Central,private,379.0,341.0,38.0,89.97,265.0,10.0,36.0,1050.0,151.0,4950.0,4950.0,1040.0,1740.0,470.0,530.0,1500.0,62.0,15.7,38.0
East Texas State University,TX,Texas,South,West South Central,public,2219.0,1441.0,778.0,64.94,719.0,,,4129.0,1343.0,1580.0,5390.0,,,,810.0,1080.0,87.0,21.8,35.0
Hardin-Simmons University,TX,Texas,South,West South Central,private,467.0,424.0,43.0,90.79,350.0,16.0,40.0,1365.0,334.0,6300.0,6300.0,1360.0,1620.0,480.0,700.0,2140.0,75.0,13.7,38.0
Howard Payne University,TX,Texas,South,West South Central,private,516.0,454.0,62.0,87.98,322.0,13.0,34.0,1201.0,214.0,5190.0,5190.0,1680.0,1312.0,320.0,400.0,,59.0,12.7,37.0
Houston Baptist University,TX,Texas,South,West South Central,private,413.0,330.0,83.0,79.9,215.0,,55.0,1247.0,430.0,5400.0,5400.0,2340.0,,210.0,600.0,,65.0,14.0,56.0
Huston-Tillotson College,TX,Texas,South,West South Central,private,261.0,159.0,102.0,60.92,114.0,7.0,20.0,455.0,84.0,5180.0,5180.0,2064.0,1560.0,660.0,500.0,1857.0,55.0,11.0,
Incarnate Word College,TX,Texas,South,West South Central,private,1163.0,927.0,236.0,79.71,386.0,16.0,49.0,1685.0,556.0,8840.0,8840.0,2049.0,2640.0,110.0,750.0,2775.0,67.0,11.4,95.0
Lamar University,TX,Texas,South,West South Central,public,2336.0,1725.0,611.0,73.84,1043.0,10.0,27.0,5438.0,4058.0,864.0,4752.0,1386.0,1654.0,840.0,508.0,1463.0,48.0,18.4,26.0
LeTourneau University,TX,Texas,South,West South Central,private,477.0,417.0,60.0,87.42,204.0,29.0,54.0,1532.0,77.0,8840.0,8840.0,4240.0,,120.0,600.0,1400.0,58.0,20.8,56.0
Lubbock Christian University,TX,Texas,South,West South Central,private,550.0,500.0,50.0,90.91,275.0,9.0,29.0,863.0,218.0,6612.0,6612.0,,,250.0,300.0,,39.0,11.9,39.0
University of Mary Hardin-Baylor,TX,Texas,South,West South Central,private,478.0,416.0,62.0,87.03,259.0,15.0,35.0,1351.0,555.0,4950.0,4950.0,1786.0,1350.0,300.0,600.0,1200.0,46.0,16.4,
McMurry University,TX,Texas,South,West South Central,private,578.0,411.0,167.0,71.11,187.0,25.0,50.0,880.0,477.0,6930.0,6930.0,,,,400.0,1525.0,57.0,11.0,32.0
Midwestern State University,TX,Texas,South,West South Central,public,1597.0,1125.0,472.0,70.44,751.0,,,3404.0,1734.0,840.0,5130.0,1800.0,1636.0,896.0,630.0,1838.0,95.0,21.6,36.0
University of North Texas,TX,Texas,South,West South Central,public,4418.0,2737.0,1681.0,61.95,2049.0,23.0,51.0,14047.0,5134.0,672.0,4104.0,1840.0,1739.0,650.0,450.0,1700.0,86.0,22.6,35.0
Our Lady of the Lake University,TX,Texas,South,West South Central,private,2308.0,1336.0,972.0,57.89,295.0,22.0,46.0,1202.0,942.0,8530.0,8530.0,2020.0,1624.0,134.0,616.0,1576.0,56.0,14.9,37.0
University of Texas-Pan American,TX,Texas,South,West South Central,public,4040.0,4040.0,0.0,100.0,1800.0,,46.0,7410.0,3055.0,991.0,3486.0,,,,,,92.0,22.9,16.0
Rice University,TX,Texas,South,West South Central,private,7935.0,1514.0,6421.0,19.08,633.0,87.0,95.0,2674.0,,9950.0,9950.0,3100.0,2625.0,365.0,525.0,1330.0,91.0,8.6,91.0
Sam Houston State University,TX,Texas,South,West South Central,public,4839.0,3549.0,1290.0,73.34,1577.0,41.0,41.0,8901.0,2245.0,840.0,5130.0,1500.0,1490.0,688.0,900.0,,76.0,27.2,43.0
Schreiner College,TX,Texas,South,West South Central,private,584.0,413.0,171.0,70.72,131.0,19.0,51.0,521.0,99.0,8955.0,8955.0,2810.0,3090.0,40.0,500.0,1488.0,51.0,11.8,52.0
Southern Methodist University,TX,Texas,South,West South Central,private,4301.0,3455.0,846.0,80.33,1166.0,41.0,69.0,4892.0,387.0,12772.0,12772.0,2652.0,2426.0,,576.0,1802.0,74.0,13.5,72.0
Southwest Texas State University,TX,Texas,South,West South Central,public,8532.0,5316.0,3216.0,62.31,2421.0,14.0,48.0,13806.0,4277.0,840.0,4860.0,,,884.0,500.0,,70.0,21.2,39.0
Southwestern Adventist College,TX,Texas,South,West South Central,private,321.0,318.0,3.0,99.07,172.0,11.0,27.0,620.0,280.0,7536.0,7536.0,1494.0,2242.0,80.0,430.0,1651.0,44.0,13.0,36.0
Southwestern University,TX,Texas,South,West South Central,private,1244.0,912.0,332.0,73.31,352.0,44.0,77.0,1177.0,43.0,11850.0,11850.0,2150.0,2525.0,,600.0,1050.0,83.0,11.3,67.0
St. Edward's University,TX,Texas,South,West South Central,private,1272.0,1012.0,260.0,79.56,375.0,20.0,45.0,1732.0,936.0,9428.0,9428.0,4070.0,,,600.0,,76.0,15.7,46.0
St. Mary's University of San Antonio,TX,Texas,South,West South Central,private,1243.0,1020.0,223.0,82.06,414.0,33.0,60.0,2149.0,418.0,8678.0,8678.0,,,330.0,700.0,1736.0,82.0,16.2,72.0
Stephen F. Austin State University,TX,Texas,South,West South Central,public,5870.0,4461.0,1409.0,76.0,2272.0,12.0,32.0,9851.0,1289.0,780.0,4860.0,3610.0,,618.0,200.0,,85.0,21.4,50.0
Sul Ross State University,TX,Texas,South,West South Central,public,,,,,305.0,7.0,20.0,1535.0,412.0,672.0,3888.0,1350.0,1630.0,612.0,450.0,1944.0,68.0,18.8,28.0
Prairie View A. and M. University,TX,Texas,South,West South Central,public,2405.0,2234.0,171.0,92.89,1061.0,10.0,22.0,4564.0,448.0,840.0,4290.0,1580.0,1920.0,820.0,598.0,1582.0,55.0,19.4,35.0
Tarleton State University,TX,Texas,South,West South Central,public,1195.0,1095.0,100.0,91.63,923.0,,28.0,4856.0,724.0,840.0,4860.0,1292.0,1492.0,639.0,1000.0,,60.0,21.9,41.0
Texas Christian University,TX,Texas,South,West South Central,private,4095.0,3079.0,1016.0,75.19,1195.0,33.0,64.0,5064.0,660.0,8490.0,8490.0,1920.0,1400.0,990.0,650.0,2400.0,81.0,14.8,64.0
Jarvis Christian College,TX,Texas,South,West South Central,private,575.0,482.0,93.0,83.83,206.0,9.0,18.0,542.0,9.0,3750.0,3750.0,1550.0,1510.0,285.0,350.0,,48.0,12.1,25.0
Texas College,TX,Texas,South,West South Central,private,254.0,189.0,65.0,74.41,189.0,15.0,26.0,503.0,40.0,3605.0,3605.0,1580.0,850.0,455.0,300.0,300.0,37.0,18.4,26.0
Texas A&M University at Kingsville,TX,Texas,South,West South Central,public,1822.0,1481.0,341.0,81.28,1055.0,10.0,33.0,4455.0,941.0,,,,,,,,89.0,19.7,42.0
Texas Lutheran College,TX,Texas,South,West South Central,private,497.0,423.0,74.0,85.11,215.0,27.0,57.0,895.0,429.0,7850.0,7850.0,1490.0,1920.0,50.0,490.0,1700.0,54.0,13.8,50.0
Texas Southern University,TX,Texas,South,West South Central,public,4345.0,3245.0,1100.0,74.68,2604.0,15.0,85.0,5584.0,3101.0,780.0,7860.0,1680.0,1680.0,,600.0,1700.0,65.0,18.2,10.0
Texas Tech University,TX,Texas,South,West South Central,public,6334.0,5051.0,1283.0,79.74,2957.0,25.0,58.0,16785.0,2780.0,780.0,4860.0,3688.0,,838.0,530.0,,82.0,24.7,41.0
Texas Wesleyan University,TX,Texas,South,West South Central,private,592.0,501.0,91.0,84.63,279.0,19.0,44.0,1204.0,392.0,6400.0,6400.0,3484.0,,390.0,600.0,1800.0,80.0,14.5,43.0
Texas Woman's University,TX,Texas,South,West South Central,public,989.0,777.0,212.0,78.56,474.0,,,3791.0,1961.0,647.0,2279.0,1502.0,1440.0,140.0,700.0,1200.0,67.0,14.3,35.0
Trinity University,TX,Texas,South,West South Central,private,2425.0,1818.0,607.0,74.97,601.0,62.0,93.0,2110.0,95.0,12240.0,12240.0,3225.0,1925.0,140.0,500.0,490.0,94.0,9.6,93.0
University of Dallas,TX,Texas,South,West South Central,private,681.0,588.0,93.0,86.34,246.0,44.0,74.0,1058.0,73.0,10760.0,10760.0,4030.0,2200.0,50.0,500.0,1200.0,85.0,13.4,63.0
University of Houston-Main Campus,TX,Texas,South,West South Central,public,6233.0,3990.0,2243.0,64.01,2150.0,32.0,65.0,15340.0,9355.0,672.0,4104.0,,,690.0,600.0,,,14.6,32.0
University of St. Thomas,TX,Texas,South,West South Central,private,374.0,280.0,94.0,74.87,185.0,45.0,77.0,995.0,408.0,8550.0,8550.0,2000.0,1670.0,96.0,500.0,1344.0,75.0,12.6,62.0
University of Texas at Arlington,TX,Texas,South,West South Central,public,3281.0,2559.0,722.0,77.99,1448.0,19.0,43.0,10975.0,8431.0,1206.0,4422.0,1440.0,1340.0,,500.0,2850.0,73.0,21.0,29.0
University of Texas at Austin,TX,Texas,South,West South Central,public,14752.0,9572.0,5180.0,64.89,5329.0,48.0,85.0,30017.0,5189.0,840.0,5130.0,1733.0,1576.0,1068.0,650.0,3140.0,91.0,19.7,65.0
University of Texas at El Paso,TX,Texas,South,West South Central,public,3528.0,2941.0,587.0,83.36,2252.0,,38.0,9551.0,4817.0,672.0,4104.0,2460.0,,626.0,,,88.0,23.1,
Wayland Baptist University,TX,Texas,South,West South Central,private,253.0,216.0,37.0,85.38,196.0,,,829.0,1817.0,5100.0,5100.0,1116.0,1675.0,350.0,600.0,1702.0,50.0,13.6,91.0
West Texas A&M University,TX,Texas,South,West South Central,public,1950.0,1506.0,444.0,77.23,1023.0,7.0,35.0,4111.0,1301.0,672.0,4104.0,1246.0,1460.0,626.0,500.0,,70.0,21.9,34.0
Baylor University,TX,Texas,South,West South Central,private,6075.0,5349.0,726.0,88.05,2367.0,34.0,66.0,9919.0,484.0,6450.0,6450.0,2230.0,1690.0,570.0,600.0,1346.0,71.0,18.5,72.0
University of Texas at Dallas,TX,Texas,South,West South Central,public,1089.0,780.0,309.0,71.63,410.0,46.0,79.0,2106.0,2919.0,784.0,4536.0,,,724.0,645.0,2979.0,91.0,20.8,
Univ. of Texas of the Permian Basin,TX,Texas,South,West South Central,public,116.0,90.0,26.0,77.59,59.0,14.0,46.0,841.0,704.0,840.0,5130.0,3995.0,,718.0,600.0,2923.0,84.0,15.5,
